101429578,59.9258577,30.3137757,437809,2018-03-21 06:18:24,Anton Khorev
101429579,59.9258001,30.3133032,446083,2015-11-02 21:38:12,yuryleb
101431958,59.9418504,30.3380439,260756,2012-03-23 08:26:35,Felis Pimeja
101431959,59.9411164,30.3357773,3846961,2016-09-30 14:21:39,mini-me
101431960,59.9410013,30.335123,3846961,2016-09-30 14:21:39,mini-me
101431961,59.9415012,30.3299935,3846961,2016-09-30 14:21:39,mini-me
101431962,59.9416026,30.3295696,3846961,2016-09-30 14:21:39,mini-me
101431963,59.9423485,30.3264135,3846961,2016-09-30 14:21:39,mini-me
101431964,59.9423069,30.3246524,3846961,2016-09-30 00:10:47,mini-me
101431965,59.9421134,30.3234625,386508,2011-02-19 13:51:32,Ordin
101431966,59.9417461,30.3217563,3846961,2016-09-30 14:21:39,mini-me
101431968,59.9409264,30.3199636,386508,2011-03-01 21:33:47,Ordin
101431969,59.9404068,30.3195343,3846961,2016-09-30 14:21:39,mini-me
101431970,59.9394654,30.3193235,386508,2011-03-01 21:05:20,Ordin
101431971,59.9390683,30.3192534,386508,2011-03-01 21:05:33,Ordin
101431972,59.9379375,30.3196884,386508,2011-03-01 21:05:13,Ordin
101431973,59.9374388,30.3197994,834057,2014-09-28 08:12:07,Gootroll
101431974,59.9363606,30.3197475,834057,2014-09-28 08:12:07,Gootroll
101431975,59.9359764,30.3196169,386508,2011-03-01 21:05:00,Ordin
101431976,59.9348401,30.318696,13502,2009-04-04 07:49:10,Alexander Leschinsky
101431977,59.9342521,30.3180056,700550,2015-07-01 16:16:13,EIjas
101431978,59.9336501,30.3170185,700550,2015-07-01 16:16:13,EIjas
101431979,59.9332622,30.3162268,700550,2015-07-01 16:16:13,EIjas
101433017,59.9407597,30.3197583,3846961,2016-09-30 22:36:21,mini-me
101433090,59.9426673,30.3168394,392109,2017-12-21 12:43:45,GaM
101438378,59.9379993,30.3192798,3846961,2016-09-30 22:36:23,mini-me
101438379,59.9390583,30.3189146,3846961,2016-10-06 20:55:40,mini-me
108059978,59.9381745,30.3199138,539987,2017-11-28 07:22:46,Cd_spb
249083130,59.9342402,30.3080751,437809,2012-02-12 10:02:06,Anton Khorev
249083131,59.9350479,30.3068173,437809,2012-02-12 10:02:06,Anton Khorev
249083192,59.9391942,30.3129942,437809,2018-04-15 01:15:00,Anton Khorev
250588938,59.9424749,30.307034,834057,2014-08-17 14:47:43,Gootroll
250588939,59.9427877,30.3070619,395588,2013-04-09 18:26:23,Danidin9
250588940,59.9430286,30.3073654,395588,2013-04-09 18:26:23,Danidin9
250588941,59.9441327,30.3076688,392109,2017-07-09 09:53:44,GaM
250588942,59.9444106,30.3074111,392109,2017-07-09 09:53:44,GaM
250588943,59.9446961,30.3063601,392109,2017-07-09 09:53:44,GaM
250588944,59.9446528,30.3057546,392109,2017-07-09 09:53:44,GaM
250588945,59.9449161,30.3044758,395588,2013-04-09 18:26:23,Danidin9
250588946,59.9450232,30.3040209,395588,2013-04-09 18:26:23,Danidin9
250588947,59.9451529,30.3038182,395588,2013-04-09 18:26:23,Danidin9
250588977,59.9434865,30.3073294,392109,2017-07-09 09:53:44,GaM
250588978,59.9436797,30.3075803,392109,2017-07-09 09:53:44,GaM
250588995,59.9433671,30.3066381,392109,2017-05-29 08:59:34,GaM
250588996,59.9444472,30.3053709,392109,2017-05-29 08:59:34,GaM
250588997,59.9445064,30.305574,395588,2013-04-09 18:26:23,Danidin9
250588998,59.9445967,30.3061899,395588,2013-04-09 18:26:23,Danidin9
250588999,59.9445649,30.306568,395588,2013-04-09 18:26:23,Danidin9
250589000,59.9444662,30.3069888,395588,2013-04-09 18:26:23,Danidin9
250589001,59.9443831,30.3071733,395588,2013-04-09 18:26:23,Danidin9
250589003,59.9440385,30.3074562,395588,2013-04-09 18:26:23,Danidin9
250589004,59.943832,30.3074458,395588,2013-04-09 18:26:24,Danidin9
250589005,59.9436657,30.3073179,395588,2013-04-09 18:26:24,Danidin9
250589006,59.9435568,30.3071531,395588,2013-04-09 18:26:24,Danidin9
250589007,59.9434435,30.3068812,395588,2013-04-09 18:26:24,Danidin9
250589896,59.9390923,30.3132801,392109,2012-01-01 19:09:45,GaM
250589897,59.9403369,30.3166345,392109,2012-01-01 19:09:45,GaM
250589899,59.9392288,30.3177147,392109,2012-01-01 19:09:45,GaM
